epoch,train_acc_ternary,train_acc_rel,train_acc_norel,train_acc_ternary,test_acc_rel,test_acc_norel
1,48.20991182233834,42.0374755062051,49.39071685173089,52.46975806451613,44.05241935483871,50.15120967741935
2,53.09438275636839,44.21334095362508,51.29919170476813,52.016129032258064,43.44758064516129,51.41129032258065
3,53.36381450032658,48.92839647289353,54.751796211626385,53.377016129032256,55.292338709677416,58.770161290322584
4,53.96697419986937,58.864712606139776,59.014737099934685,51.41129032258065,63.05443548387097,62.096774193548384
5,54.280290659699546,64.12985793598955,60.76706401045069,52.41935483870968,69.60685483870968,61.79435483870968
6,54.7324052906597,66.36491672109732,61.34368876551274,54.38508064516129,70.46370967741936,64.71774193548387
7,54.90284128020901,67.74575440888309,61.74681580666231,54.88911290322581,69.90927419354838,63.40725806451613
8,54.84160679294579,68.1611283474853,62.119325604180275,54.53629032258065,71.82459677419355,64.31451612903226
9,55.156964402351406,68.66120999346832,62.308131939908556,53.32661290322581,70.56451612903226,64.46572580645162
10,55.516206727629,69.04902841280209,62.70921783148269,54.435483870967744,71.5725806451613,65.47379032258064
11,55.49477465708687,69.40622958850425,63.3236038536904,54.586693548387096,72.53024193548387,64.21370967741936
12,55.5611120182887,69.61646799477465,68.01926845199216,53.98185483870968,71.67338709677419,74.84879032258064
13,55.6060173089484,69.93590790333116,76.47575114304377,53.729838709677416,72.42943548387096,81.04838709677419
14,55.686642717178316,70.34005551926845,84.46174885695623,53.377016129032256,71.5725806451613,88.91129032258064
15,55.63255225342913,70.50947093403005,93.46117733507512,52.62096774193548,73.89112903225806,96.7741935483871
16,55.63051110385369,74.47746570868713,97.99559111691704,54.082661290322584,76.96572580645162,98.38709677419355
17,55.873407903331156,77.20546211626387,98.73448726322665,54.18346774193548,79.43548387096774,98.48790322580645
18,56.103037230568255,78.42606956237753,99.11209993468321,54.586693548387096,78.83064516129032,99.09274193548387
19,56.187744937949056,79.42929457870673,99.32540006531679,54.88911290322581,80.74596774193549,98.7399193548387
20,56.4694235793599,80.8754490529066,99.46930111038537,55.34274193548387,79.93951612903226,98.58870967741936
21,56.657209340300454,82.66655780535598,99.56829686479425,55.24193548387097,82.66129032258064,99.24395161290323
22,56.934805682560416,83.51567602873939,99.64381939908556,54.6875,82.56048387096774,99.44556451612904
23,57.082789026779885,84.79853853690399,99.68872468974527,55.443548387096776,83.82056451612904,99.39516129032258
24,57.318541802743304,85.90586218158067,99.71832135858915,55.997983870967744,84.92943548387096,99.49596774193549
25,57.85332299150882,86.66006694970608,99.74995917700849,56.80443548387097,85.18145161290323,99.34475806451613
